data, casos
01/30/20,	0
01/31/20,	1
02/01/20,	1
02/02/20,	1
02/03/20,	1
02/04/20,	1
02/05/20,	1
02/06/20,	1
02/07/20,	1
02/08/20,	1
02/09/20,	2
02/10/20,	2
02/11/20,	2
02/12/20,	2
02/13/20,	2
02/14/20,	2
02/15/20,	2
02/16/20,	2
02/17/20,	2
02/18/20,	2
02/19/20,	2
02/20/20,	2
02/21/20,	2
02/22/20,	2
02/23/20,	2
02/24/20,	3
02/25/20,	7
02/26/20,	11
02/27/20,	15
02/28/20,	41
02/29/20,	58
03/01/20,	79
03/02/20,	114
03/03/20,	151
03/04/20,	200
03/05/20,	261
03/06/20,	345
03/07/20,	441
03/08/20,	589
03/09/20,	999
03/10/20,	1622
03/11/20,	2277
03/12/20,	3057
03/13/20,	4900
03/14/20,	5869
03/15/20,	7798
03/16/20,	9921
03/17/20,	11178
03/18/20
03/19/20
03/20/20
03/21/20
03/22/20
03/23/20
03/24/20
03/25/20
03/26/20
03/27/20
03/28/20
03/29/20
03/30/20
03/31/20
04/01/20
04/02/20
04/03/20
04/04/20
04/05/20
04/06/20
04/07/20























